"Date","Season","jday","Location","T_mean","T_max","T_min","Observed_Hc_Prosser"
2009-11-13,"2009-2010",317,"Prosser",3.084486111,8.532972222,-2.364,NA
2009-11-14,"2009-2010",318,"Prosser",1.194827778,7.460744444,-5.071088888,NA
2009-11-15,"2009-2010",319,"Prosser",3.4014583335,7.380455555,-0.577538888,NA
2009-11-16,"2009-2010",320,"Prosser",9.160555553,14.58854444,3.732566666,-20
2009-11-17,"2009-2010",321,"Prosser",8.9594138865,13.03294444,4.885883333,NA
2009-11-18,"2009-2010",322,"Prosser",5.281336113,10.23655556,0.326116666,NA
2009-11-19,"2009-2010",323,"Prosser",8.981400002,13.89470556,4.068094444,NA
2009-11-20,"2009-2010",324,"Prosser",8.200219444,13.44275,2.957688888,NA
2009-11-21,"2009-2010",325,"Prosser",4.532366666,8.969488888,0.095244444,NA
2009-11-22,"2009-2010",326,"Prosser",6.1921222215,9.393938888,2.990305555,NA
2009-11-23,"2009-2010",327,"Prosser",5.909936109,10.56818333,1.251688888,-20.83
2009-11-24,"2009-2010",328,"Prosser",5.160416666,9.366727777,0.954105555,NA
2009-11-25,"2009-2010",329,"Prosser",3.439108333,8.496327777,-1.618111111,NA
2009-11-26,"2009-2010",330,"Prosser",1.701575,4.248827777,-0.845677777,NA
2009-11-27,"2009-2010",331,"Prosser",5.267905556,11.21645,-0.680638888,NA
2009-11-28,"2009-2010",332,"Prosser",1.474730556,5.3911,-2.441638888,NA
2009-11-29,"2009-2010",333,"Prosser",2.6900805555,7.171522222,-1.791361111,NA
2009-11-30,"2009-2010",334,"Prosser",-0.735863889,2.406433333,-3.878161111,-21.94
2009-12-01,"2009-2010",335,"Prosser",-1.420961111,7.04315,-9.885072222,NA
2009-12-02,"2009-2010",336,"Prosser",-1.897963889,3.669266666,-7.465194444,NA
2009-12-03,"2009-2010",337,"Prosser",-3.965008333,0.044611111,-7.974627777,NA
2009-12-04,"2009-2010",338,"Prosser",-2.962347222,-0.44995,-5.474744444,NA
2009-12-05,"2009-2010",339,"Prosser",-3.2559194445,0.677172222,-7.189011111,NA
2009-12-06,"2009-2010",340,"Prosser",-4.026475,0.40215,-8.4551,NA
2009-12-07,"2009-2010",341,"Prosser",-10.26080278,-5.4479,-15.07370556,-23.89
2009-12-08,"2009-2010",342,"Prosser",-11.443013891,-5.072922222,-17.81310556,NA
2009-12-09,"2009-2010",343,"Prosser",-10.389005556,-4.779072222,-15.99893889,NA
2009-12-10,"2009-2010",344,"Prosser",-11.591438888,-5.483916666,-17.69896111,NA
2009-12-11,"2009-2010",345,"Prosser",-11.3927833325,-5.732555555,-17.05301111,NA
2009-12-12,"2009-2010",346,"Prosser",-9.249033331,-5.901422222,-12.59664444,NA
2009-12-13,"2009-2010",347,"Prosser",-3.000752778,0.090827777,-6.092333333,NA
2009-12-14,"2009-2010",348,"Prosser",-4.1253249995,-0.760211111,-7.490438888,-23.61
2009-12-15,"2009-2010",349,"Prosser",-2.8112249995,-1.597188888,-4.025261111,NA
2009-12-16,"2009-2010",350,"Prosser",0.7126944445,5.320755555,-3.895366666,NA
2009-12-17,"2009-2010",351,"Prosser",1.4822305555,6.585733333,-3.621272222,NA
2009-12-18,"2009-2010",352,"Prosser",2.065597222,3.712094444,0.4191,NA
2009-12-19,"2009-2010",353,"Prosser",1.975283333,3.268511111,0.682055555,NA
2009-12-20,"2009-2010",354,"Prosser",2.231602777,3.269638888,1.193566666,NA
2009-12-21,"2009-2010",355,"Prosser",4.6392416665,8.962033333,0.31645,-22.22
2009-12-22,"2009-2010",356,"Prosser",1.565138889,6.46995,-3.339672222,NA
2009-12-23,"2009-2010",357,"Prosser",-0.2138055555,2.487811111,-2.915422222,NA
2009-12-24,"2009-2010",358,"Prosser",-2.198577778,1.496355555,-5.893511111,NA
2009-12-25,"2009-2010",359,"Prosser",-4.0018472215,-1.085238888,-6.918455555,NA
2009-12-26,"2009-2010",360,"Prosser",-4.5230916665,-1.579111111,-7.467072222,NA
2009-12-27,"2009-2010",361,"Prosser",-4.476680555,-0.769188888,-8.184172222,NA
2009-12-28,"2009-2010",362,"Prosser",-3.839919444,-2.232372222,-5.447466666,-24.72
2009-12-29,"2009-2010",363,"Prosser",-3.016147222,-1.88985,-4.142444444,NA
2009-12-30,"2009-2010",364,"Prosser",-5.7627777775,-3.384911111,-8.140644444,NA
2009-12-31,"2009-2010",365,"Prosser",-4.920769444,-2.336955555,-7.504583333,NA
2010-01-01,"2009-2010",366,"Prosser",1.4879916665,7.806938888,-4.830955555,NA
2010-01-02,"2009-2010",367,"Prosser",5.6234361105,9.038144444,2.208727777,NA
2010-01-03,"2009-2010",368,"Prosser",1.234038889,3.575922222,-1.107844444,NA
2010-01-04,"2009-2010",369,"Prosser",1.7843722215,2.718477777,0.850266666,-23.61
2010-01-05,"2009-2010",370,"Prosser",2.798216666,4.431344444,1.165088888,NA
2010-01-06,"2009-2010",371,"Prosser",1.842677778,5.314244444,-1.628888888,NA
2010-01-07,"2009-2010",372,"Prosser",-1.9863888885,0.83185,-4.804627777,NA
2010-01-08,"2009-2010",373,"Prosser",0.1576527775,1.424916666,-1.109611111,NA
2010-01-09,"2009-2010",374,"Prosser",0.599305556,2.0491,-0.850488888,NA
2010-01-10,"2009-2010",375,"Prosser",0.4672944445,2.0547,-1.120111111,NA
2010-01-11,"2009-2010",376,"Prosser",1.4456888885,2.204994444,0.686383333,-23.89
2010-01-12,"2009-2010",377,"Prosser",4.119219444,7.549583333,0.688855555,NA
2010-01-13,"2009-2010",378,"Prosser",5.045180555,8.934183333,1.156177777,NA
2010-01-14,"2009-2010",379,"Prosser",6.4006888865,10.27454444,2.526833333,NA
2010-01-15,"2009-2010",380,"Prosser",8.417983331,12.04489444,4.791072222,NA
2010-01-16,"2009-2010",381,"Prosser",6.8836027775,8.505833333,5.261372222,NA
2010-01-17,"2009-2010",382,"Prosser",5.9609499995,7.451983333,4.469916666,NA
2010-01-18,"2009-2010",383,"Prosser",4.679983333,8.083244444,1.276722222,NA
2010-01-19,"2009-2010",384,"Prosser",5.8505166675,10.82272778,0.878305555,NA
2010-01-20,"2009-2010",385,"Prosser",5.0761833345,10.61222778,-0.459861111,-22.78
2010-01-21,"2009-2010",386,"Prosser",5.93307778,11.44585556,0.4203,NA
2010-01-22,"2009-2010",387,"Prosser",4.869944444,9.597961111,0.141927777,NA
2010-01-23,"2009-2010",388,"Prosser",7.162405554,12.29752222,2.027288888,NA
2010-01-24,"2009-2010",389,"Prosser",2.438288888,4.767088888,0.109488888,NA
2010-01-25,"2009-2010",390,"Prosser",3.075705555,4.961577777,1.189833333,-22.22
2010-01-26,"2009-2010",391,"Prosser",5.089527777,6.461366666,3.717688888,NA
2010-01-27,"2009-2010",392,"Prosser",5.9691916665,7.690311111,4.248072222,NA
2010-01-28,"2009-2010",393,"Prosser",3.951891666,7.570788888,0.332994444,NA
2010-01-29,"2009-2010",394,"Prosser",4.7834249995,7.360927777,2.205922222,NA
2010-01-30,"2009-2010",395,"Prosser",4.976536111,6.235811111,3.717261111,NA
2010-01-31,"2009-2010",396,"Prosser",5.836797222,9.531661111,2.141933333,NA
2010-02-01,"2009-2010",397,"Prosser",4.3622611105,5.006455555,3.718066666,-22.78
2010-02-02,"2009-2010",398,"Prosser",4.884941666,7.397166666,2.372716666,NA
2010-02-03,"2009-2010",399,"Prosser",4.6536361105,6.872894444,2.434377777,NA
2010-02-04,"2009-2010",400,"Prosser",5.649980555,8.080383333,3.219577777,NA
2010-02-05,"2009-2010",401,"Prosser",8.0053472215,11.01801111,4.992683333,NA
2010-02-06,"2009-2010",402,"Prosser",7.9409527775,11.8872,3.994705555,NA
2010-02-07,"2009-2010",403,"Prosser",7.385019444,9.032738888,5.7373,NA
2010-02-08,"2009-2010",404,"Prosser",6.061616666,8.358688888,3.764544444,-21.66
2010-02-09,"2009-2010",405,"Prosser",7.083194443,11.56667222,2.599716666,NA
2010-02-10,"2009-2010",406,"Prosser",5.369836111,8.899772222,1.8399,NA
2010-02-11,"2009-2010",407,"Prosser",7.3043638885,11.51225,3.096477777,NA
2010-02-12,"2009-2010",408,"Prosser",9.81351111,13.26287222,6.36415,NA
2010-02-13,"2009-2010",409,"Prosser",9.1638111115,13.22138889,5.106233333,NA
2010-02-14,"2009-2010",410,"Prosser",7.341797222,10.82835,3.855244444,NA
2010-02-15,"2009-2010",411,"Prosser",5.818461111,9.465722222,2.1712,NA
2010-02-16,"2009-2010",412,"Prosser",9.6672083355,14.60560556,4.728811111,NA
2010-02-17,"2009-2010",413,"Prosser",7.869,12.6071,3.1309,NA
2010-02-18,"2009-2010",414,"Prosser",5.869422223,12.08018889,-0.341344444,NA
2010-02-19,"2009-2010",415,"Prosser",5.468808335,11.67941667,-0.7418,NA
2010-02-20,"2009-2010",416,"Prosser",4.547872222,10.30591111,-1.210166666,NA
2010-02-21,"2009-2010",417,"Prosser",3.527211111,9.839333333,-2.784911111,NA
2010-02-22,"2009-2010",418,"Prosser",3.5910055565,11.29533889,-4.113327777,NA
2010-02-23,"2009-2010",419,"Prosser",2.6393583335,8.408361111,-3.129644444,NA
2010-02-24,"2009-2010",420,"Prosser",7.5679666655,12.65472222,2.481211111,NA
2010-02-25,"2009-2010",421,"Prosser",7.943361112,14.51882778,1.367894444,NA
2010-02-26,"2009-2010",422,"Prosser",6.8965999995,8.535694444,5.257505555,NA
2010-02-27,"2009-2010",423,"Prosser",8.2769611105,16.10416111,0.449761111,NA
2010-02-28,"2009-2010",424,"Prosser",7.8881999975,15.11764444,0.658755555,NA
2010-03-01,"2009-2010",425,"Prosser",7.7343666685,14.61665556,0.852077777,NA
2010-03-02,"2009-2010",426,"Prosser",11.256383333,17.42115,5.091616666,NA
2010-03-03,"2009-2010",427,"Prosser",10.613930555,16.56976111,4.6581,NA
2010-03-04,"2009-2010",428,"Prosser",7.340038889,14.35763889,0.322438888,NA
2010-03-05,"2009-2010",429,"Prosser",7.0779805565,13.97337778,0.182583333,NA
2010-03-06,"2009-2010",430,"Prosser",7.2368861095,15.58473333,-1.110961111,NA
2010-03-07,"2009-2010",431,"Prosser",7.644894444,15.90626111,-0.616472222,NA
2010-03-08,"2009-2010",432,"Prosser",4.075325,11.91015,-3.7595,NA
2010-03-09,"2009-2010",433,"Prosser",0.897888889,8.050872222,-6.255094444,NA
2010-03-10,"2009-2010",434,"Prosser",5.245436112,10.88033889,-0.389466666,NA
2010-03-11,"2009-2010",435,"Prosser",6.5618222215,11.95451111,1.169133333,NA
2010-03-12,"2009-2010",436,"Prosser",7.9461388885,14.01005,1.882227777,NA
2010-03-13,"2009-2010",437,"Prosser",6.107122221,13.03558333,-0.821338888,NA
2010-03-14,"2009-2010",438,"Prosser",4.613208332,12.01573333,-2.789316666,NA
2010-03-15,"2009-2010",439,"Prosser",8.8170055535,14.79333333,2.840677777,NA
2010-03-16,"2009-2010",440,"Prosser",11.7795749985,20.67577222,2.883377777,NA
2010-03-17,"2009-2010",441,"Prosser",7.4811138885,13.87285,1.089377777,NA
2010-03-18,"2009-2010",442,"Prosser",5.6752638915,13.69615556,-2.345627777,NA
2010-03-19,"2009-2010",443,"Prosser",6.477877778,14.0851,-1.129344444,NA
2010-03-20,"2009-2010",444,"Prosser",7.0795055535,16.05289444,-1.893883333,NA
2010-03-21,"2009-2010",445,"Prosser",8.9855472205,13.89998333,4.071111111,NA
2010-03-22,"2009-2010",446,"Prosser",8.0169166655,14.65917222,1.374661111,NA
2010-03-23,"2009-2010",447,"Prosser",6.77266389,14.91572778,-1.3704,NA
2010-03-24,"2009-2010",448,"Prosser",8.4848416665,16.4539,0.515783333,NA
2010-03-25,"2009-2010",449,"Prosser",10.212033333,15.265,5.159066666,NA
2010-03-26,"2009-2010",450,"Prosser",8.752797223,15.13492778,2.370666666,NA
2010-03-27,"2009-2010",451,"Prosser",7.6880416685,15.52301667,-0.146933333,NA
2010-03-28,"2009-2010",452,"Prosser",9.912891664,15.05344444,4.772338888,NA
2010-03-29,"2009-2010",453,"Prosser",8.4682361085,12.15514444,4.781327777,NA
2010-03-30,"2009-2010",454,"Prosser",6.5106666655,12.35697222,0.664361111,NA
2010-03-31,"2009-2010",455,"Prosser",5.2357972245,11.85495556,-1.383361111,NA
2010-04-01,"2009-2010",456,"Prosser",5.564047222,13.43096111,-2.302866666,NA
2010-04-02,"2009-2010",457,"Prosser",6.2369277755,11.08684444,1.387011111,NA
2010-04-03,"2009-2010",458,"Prosser",5.3211611105,9.710383333,0.931938888,NA
2010-04-04,"2009-2010",459,"Prosser",7.3417833355,14.08760556,0.595961111,NA
2010-04-05,"2009-2010",460,"Prosser",8.16482778,13.09190556,3.23775,NA
2010-04-06,"2009-2010",461,"Prosser",8.159052776,13.35253333,2.965572222,NA
2010-04-07,"2009-2010",462,"Prosser",10.0996388885,16.619194444,3.580083333,NA
2010-04-08,"2009-2010",463,"Prosser",5.0427027775,9.612172222,0.473233333,NA
2010-04-09,"2009-2010",464,"Prosser",5.5425472225,12.276083333,-1.190988888,NA
2010-04-10,"2009-2010",465,"Prosser",6.1650805555,14.340483333,-2.010322222,NA
2010-04-11,"2009-2010",466,"Prosser",11.078105555,17.191838888,4.964372222,NA
2010-04-12,"2009-2010",467,"Prosser",11.437855555,15.080894444,7.794816666,NA
2010-04-13,"2009-2010",468,"Prosser",10.399208333,16.861094444,3.937322222,NA
2010-04-14,"2009-2010",469,"Prosser",9.220669444,18.199505555,0.241833333,NA
2010-04-15,"2009-2010",470,"Prosser",13.4268138885,20.330405555,6.523222222,NA
2010-04-16,"2009-2010",471,"Prosser",13.736769444,23.108722222,4.364816666,NA
2010-04-17,"2009-2010",472,"Prosser",13.511994444,21.587294444,5.436694444,NA
2010-04-18,"2009-2010",473,"Prosser",12.4092861105,21.074644444,3.743927777,NA
2010-04-19,"2009-2010",474,"Prosser",16.111752777,24.853927777,7.369577777,NA
2010-04-20,"2009-2010",475,"Prosser",15.607394444,20.813077777,10.401711111,NA
2010-04-21,"2009-2010",476,"Prosser",12.942527777,18.137827777,7.747227777,NA
2010-04-22,"2009-2010",477,"Prosser",14.0849916665,20.77495,7.395033333,NA
2010-04-23,"2009-2010",478,"Prosser",11.444458333,19.083894444,3.805022222,NA
2010-04-24,"2009-2010",479,"Prosser",10.0177027775,15.0357,4.999705555,NA
2010-04-25,"2009-2010",480,"Prosser",8.9302527775,16.194694444,1.665811111,NA
2010-04-26,"2009-2010",481,"Prosser",11.136430555,17.455555555,4.817305555,NA
2010-04-27,"2009-2010",482,"Prosser",13.3884999995,18.035661111,8.741338888,NA
2010-04-28,"2009-2010",483,"Prosser",9.228019444,15.153822222,3.302216666,NA
2010-04-29,"2009-2010",484,"Prosser",9.5237055555,15.101461111,3.94595,NA
2010-04-30,"2009-2010",485,"Prosser",11.0389805555,18.24045,3.837511111,NA
2010-05-01,"2009-2010",486,"Prosser",10.602580555,17.398638888,3.806522222,NA
2010-05-02,"2009-2010",487,"Prosser",10.138708333,17.293461111,2.983955555,NA
2010-05-03,"2009-2010",488,"Prosser",8.751719444,15.368705555,2.134733333,NA
2010-05-04,"2009-2010",489,"Prosser",6.228322222,12.898394444,-0.44175,NA
2010-05-05,"2009-2010",490,"Prosser",7.5093249995,12.901766666,2.116883333,NA
2010-05-06,"2009-2010",491,"Prosser",8.284758333,16.593516666,-0.024,NA
2010-05-07,"2009-2010",492,"Prosser",9.248658333,17.273616666,1.2237,NA
2010-05-08,"2009-2010",493,"Prosser",10.729522222,17.576061111,3.882983333,NA
2010-05-09,"2009-2010",494,"Prosser",11.551752777,20.761327777,2.342177777,NA
2010-05-10,"2009-2010",495,"Prosser",NA,NA,NA,NA
2010-05-11,"2009-2010",496,"Prosser",NA,NA,NA,NA
2010-05-12,"2009-2010",497,"Prosser",NA,NA,NA,NA
2010-05-13,"2009-2010",498,"Prosser",NA,NA,NA,NA
2010-05-14,"2009-2010",499,"Prosser",NA,NA,NA,NA
2010-05-15,"2009-2010",500,"Prosser",NA,NA,NA,NA
