Date,ColonCol Size,y  AdultDrones,AdultWkr,Forgr,Drones Brood,WkrBrood,DronLarv,e  WkrLarv,DroneEggs,WkrEggs,ColonyPollen,ColonyNectar
2/20/01,22571,1526,5000,6771,0,327,0,771,0,645,3748,6807.3
2/21/01,21069,1241,3334,6320,0,432,0,875,0,746,4163.4,6753.6
2/22/01,20767,956,1668,6230,0,573,0,977,1,882,4085.6,6619.8
2/23/01,19859,666,0,5957,0,720,0,1023,2,1036,4470.1,6567.5
2/24/01,18294,333,0,5488,0,906,0,1147,4,1182,4823.9,6517.4
2/25/01,17944,0,0,5383,0,1098,1,1334,6,1360,4792.2,5401
2/26/01,17328,0,0,5198,0,1307,2,1472,7,1391,5126.8,5352.1
2/27/01,16713,0,0,5013,0,1550,4,1685,9,1456,5449.5,5304.2
2/28/01,16114,0,15,4834,0,1728,7,2049,11,1602,5790.9,4605.2
3/1/01,14915,0,49,4474,0,2004,9,2117,14,1959,6106.5,3947.1
3/2/01,10985,0,88,3295,0,2344,13,2259,16,2218,6338,3441.3
3/3/01,7071,0,143,2121,0,2636,18,2615,16,2230,6485.2,3069.6
3/4/01,7146,0,225,2143,1,3010,22,2894,14,2051,6469.2,2544.6
3/5/01,5267,0,327,1580,2,3465,27,3117,11,1788,6569.9,2519.3
3/6/01,2076,0,432,622,4,3738,30,3454,8,1583,6608.7,2317
3/7/01,2215,0,573,664,7,4118,30,3489,5,1321,6598.1,2033.8
3/8/01,720,0,720,0,9,4674,31,3303,2,1080,6593.2,2022.2
3/9/01,906,0,906,0,13,5223,29,3078,0,570,6587.2,2008.6
3/10/01,1098,0,1098,0,18,5811,24,2592,0,276,6579.9,1993
3/11/01,1307,0,1307,0,23,6317,19,2153,0,0,6575.5,1975.2
3/12/01,1550,0,1550,0,29,6630,13,1597,0,0,6562.7,1722.4
3/13/01,1743,0,1743,0,34,6954,8,1080,0,0,6549.4,1461.6
3/14/01,2053,0,2053,0,37,7154,5,570,0,0,6535.2,1199.4
3/15/01,2432,0,2432,0,40,7069,2,276,0,0,6519.5,922.2
3/16/01,2779,0,2779,0,42,6998,0,0,0,0,6514,891.4
3/17/01,3235,0,3235,0,42,6542,0,0,0,0,6507.5,856.9
3/18/01,3793,1,3792,0,41,5985,0,0,0,0,6499.9,818.2
3/19/01,4172,2,4170,0,40,5607,0,0,0,0,6476.5,417.7
3/20/01,4695,4,4691,0,38,5086,0,0,0,0,6450.6,0
3/21/01,5400,7,5379,14,35,4383,0,0,0,0,6421,0
3/22/01,6135,9,6080,46,33,3648,0,0,0,5,6387.8,0
3/23/01,6917,13,6821,83,29,2868,0,0,0,26,6350.3,0
3/24/01,7635,18,7481,136,24,2153,0,0,0,65,6309.6,0
3/25/01,8193,23,7955,215,19,1597,0,5,0,124,6283.6,0
3/26/01,8712,29,8370,313,13,1080,0,26,0,205,6263.4,0
3/27/01,9222,34,8775,413,8,570,0,65,0,327,6249.8,0
3/28/01,9513,37,8928,548,5,276,0,129,0,465,6247.3,0
3/29/01,9786,40,9057,689,2,0,0,231,0,623,6202.9,0
3/30/01,9781,42,8871,868,0,5,0,387,0,730,6227.6,0
3/31/01,9773,42,8679,1052,0,26,0,568,0,866,6269.8,0
4/1/01,9773,42,8470,1261,0,65,0,789,0,1039,6235,0
4/2/01,9773,42,8227,1504,0,129,0,993,0,1281,6319,0
4/3/01,9773,42,8034,1697,0,231,0,1229,0,1595,6291.2,0
4/4/01,9773,42,7724,2007,0,392,0,1501,0,1850,6420,0
4/5/01,9769,42,7345,2382,0,594,0,1809,0,2098,6579.8,0
4/6/01,9651,42,6998,2611,0,854,0,2201,3,2307,6760,0
4/7/01,9576,42,6542,2872,0,1122,0,2621,7,2563,6961.6,0
4/8/01,9479,41,5985,2843,0,1460,0,3041,13,2789,7161.7,0
4/9/01,9378,40,5607,2813,0,1893,3,3469,19,2999,7359.4,0
4/10/01,9092,38,5086,2727,0,2403,7,3903,25,3096,7550.6,0
4/11/01,8905,35,4383,2671,0,3055,13,4235,31,3296,7737.7,0
4/12/01,8508,33,3653,2552,0,3738,22,4618,37,3481,7915.9,0
4/13/01,8089,29,2894,2426,0,4475,32,4901,44,3737,8084.4,0
4/14/01,7813,24,2218,2343,0,5297,44,5224,51,3892,8246.1,0
4/15/01,7872,19,1726,2361,0,6177,59,5536,58,4019,8227.3,0
4/16/01,7968,13,1311,2390,3,7059,73,5849,66,4163,8207.5,0
4/17/01,7745,8,962,2323,7,7969,88,6117,75,4314,8364.8,0
4/18/01,7597,5,870,2279,13,8808,104,6459,81,4433,8517.3,0
4/19/01,7854,2,854,2356,22,9732,120,6716,84,4489,8492.4,0
4/20/01,7664,0,1122,2299,32,10720,138,6950,86,4521,8642.5,0
4/21/01,7445,0,1460,2233,44,11679,154,7155,83,4342,8785.9,0
4/22/01,7500,0,1893,2250,59,12585,167,7313,79,4203,8928.2,0
4/23/01,8010,0,2403,2403,76,13458,180,7452,73,4065,8894.1,0
4/24/01,8141,0,3055,2442,95,14247,186,7334,72,4126,9043.9,0
4/25/01,8829,0,3743,2648,117,15049,188,7202,70,4094,9002.1,0
4/26/01,8884,0,4501,2665,142,15793,187,7084,66,3944,9161.2,0
4/27/01,9010,0,5362,2703,170,16429,183,6971,59,3749,9319.8,0
4/28/01,9174,0,6306,2752,198,17007,177,6775,48,3462,9478.9,0
4/29/01,8370,0,7290,1080,226,17346,169,6686,35,3189,9507.4,0
4/30/01,9444,3,8361,1080,253,17633,156,6517,18,2490,9447.1,0
5/1/01,9979,7,9402,570,274,17976,142,6172,7,1919,9426.2,0
5/2/01,10599,13,10586,0,292,18176,125,5749,0,1247,9357.3,0
5/3/01,11864,22,11837,5,307,18246,101,4913,0,757,9283.4,0
5/4/01,13171,32,13113,26,321,18183,77,4147,0,291,9206.2,0
5/5/01,14522,44,14413,65,331,18033,55,3247,0,18,9122.3,0
5/6/01,15920,59,15732,129,336,17689,35,2208,0,56,9044,0
5/7/01,17378,76,17071,231,336,17209,18,1249,0,129,8970.1,0
5/8/01,18887,95,18400,392,328,16209,7,775,0,235,8903.7,0
5/9/01,20411,117,19700,594,313,15175,0,345,0,411,8848.9,0
5/10/01,21933,142,20937,854,288,13967,0,131,0,623,8810.4,0
5/11/01,23483,170,22191,1122,260,12445,0,253,0,835,8787.4,0
5/12/01,24834,198,23176,1460,232,11124,0,465,0,1076,8787.5,0
5/13/01,26220,226,24101,1893,204,9782,0,736,0,1309,8817.9,0
5/14/01,27629,256,24975,2398,174,8436,0,1032,0,1670,8884.2,0
5/15/01,28978,281,25707,2990,149,7127,0,1412,3,1827,9051.9,0
5/16/01,30328,305,26345,3678,125,5923,0,1810,9,2027,8985.7,0
5/17/01,31522,329,26821,4372,101,4903,0,2291,20,2124,9252.8,0
5/18/01,32633,353,27149,5131,77,4001,3,2616,32,2396,9575,0
5/19/01,33533,375,27244,5914,55,3296,9,3002,45,2625,9954.5,0
5/20/01,34514,395,27221,6898,35,2790,20,3339,58,2876,9830.7,0
5/21/01,35018,409,26640,7969,18,2820,35,3703,66,2877,9748.5,0
5/22/01,35291,416,26067,8808,7,3047,54,3957,70,2734,10329.7,0
5/23/01,35581,417,25172,9992,0,3370,78,4388,80,2768,10234.6,0
5/24/01,35312,408,23916  1,593,0,4090,101,4553,82,2625,10957.4,0
5/25/01,35036,398,22621  1,510,3,4880,121,4567,85,2540,11675.7,0
5/26/01,34702,386,21298  1,410,9,5748,149,4760,79,2199,12387.4,2930.8
5/27/01,34725,371,19953  1,417,20,6659,163,4553,96,2511,12293.5,2735.9
5/28/01,34783,354,18587  1,434,35,7627,174,4231,101,2528,12195.8,2543.5
5/29/01,34453,335,17219  1,335,54,8390,183,4082,112,2681,12893.6,2476.9
5/30/01,34135,313,15931  1,240,78,8982,201,4330,109,2493,13573.3,2410.5
5/31/01,33057,288,14721,9917,101,9772,209,3991,123,2714,14231.3,2345
6/1/01,32605,260,13533,9781,124,10180,225,4138,131,2812,14879.4,2279.8
6/2/01,32171,232,12665,9651,158,10446,230,4283,139,2901,15516.7,2215
6/3/01,32663,204,11827,9798,183,10662,250,4506,145,2981,15401.1,2028.7
6/4/01,33328,174,11138,9998,209,11021,271,4439,140,2819,16057.3,4839.8
6/5/01,33915,149,10366  1,174,237,11147,290,4656,144,2838,15935.4,4648.3
6/6/01,29387,125,9760,8816,279,11316,299,4806,149,2834,16511.2,4585.9
6/7/01,30155,101,9318,9046,310,11390,310,4765,121,2289,16400.3,4407.2
6/8/01,31018,80,9013,9305,346,11465,322,4780,105,2002,16283.4,4225.9
6/9/01,31951,64,8923,9585,379,11503,339,4828,99,1901,16178.8,4042.6
6/10/01,32985,55,9005,9895,413,11415,308,4153,147,2760,16069.4,3854.9
6/11/01,33868,53,9400  1,160,445,11569,296,3801,146,2702,15956.9,3665.1
6/12/01,34682,61,9738  1,404,473,11588,299,3910,125,2302,15842,3472.9
6/13/01,35776,78,10526  1,732,500,11485,310,4075,85,1551,15724.5,3277.6
6/14/01,36541,101,11268  1,962,519,11778,302,3669,87,1564,15605,3080.2
6/15/01,37285,124,11987  1,1185,547,11337,280,3923,66,1188,15484.3,2880.6
6/16/01,38055,158,12707  1,1416,569,11288,246,3624,60,1079,15361.7,2679
6/17/01,39134,183,13723  1,1740,558,11168,268,3332,35,631,15236.6,2474.3
6/18/01,39898,209,14386  1,1969,567,11569,241,2351,61,1070,15108.8,2267.6
6/19/01,40815,237,15153  1,2244,589,11309,207,2001,59,1050,14978.5,2058.5
6/20/01,41723,279,15805  1,2516,609,10977,156,1661,48,856,14845.6,1846.9
6/21/01,42713,310,16477  1,2813,612,10406,156,1870,19,353,14710.3,1632.8
6/22/01,43739,349,17130  1,3121,602,10061,141,1487,5,94,14572,1416
6/23/01,44733,388,17630  1,3419,585,9264,119,1329,13,239,14430.5,1196.6
6/24/01,45817,433,18149  1,3745,576,8504,88,1144,8,145,14285.6,974.5
6/25/01,46689,480,18279  1,4006,537,7873,80,950,22,394,14137.4,750.2
6/26/01,47710,527,18641  1,4313,506,7496,72,498,14,249,13985.5,523.4
6/27/01,48796,578,18956  1,4638,466,6720,61,239,14,249,13829.7,293.9
6/28/01,49118,620,18444  1,4735,458,6440,41,488,0,0,13671.9,63.6
6/29/01,49853,668,18247  1,4955,421,5847,27,394,0,0,13510.7,0
6/30/01,50837,718,18232  1,5251,365,4913,27,394,13,226,13345.7,0
7/1/01,51979,721,18328  1,5593,356,3919,22,249,13,226,13176.1,0
7/2/01,52628,741,18072  1,5788,321,3290,22,249,25,438,13003.5,0
7/3/01,53193,772,17800  1,5957,279,3005,27,226,17,292,12828.1,0
7/4/01,53619,810,17111  1,6085,217,2617,27,226,33,543,12649.8,0
7/5/01,54272,821,17011  1,6281,197,1975,25,438,21,332,12468.8,0
7/6/01,54436,827,16448  1,6330,168,1817,30,518,16,252,12286.1,0
7/7/01,54703,815,15991  1,6410,146,1538,46,769,0,1,12101.8,0
7/8/01,54908,826,15131  1,6472,110,1570,46,544,0,0,11914.6,0
7/9/01,55487,808,14990  1,6646,102,973,46,544,0,0,11724.9,0
7/10/01,55734,796,14360  1,6720,99,926,33,332,0,0,11532.6,0
7/11/01,55703,765,13494  1,6710,88,1006,33,252,30,464,11338.6,0
7/12/01,55800,768,12629  1,6740,66,1163,21,1,74,1132,11142.2,0
7/13/01,55775,743,11642  1,6732,57,1164,16,0,106,1613,10943.9,0
7/14/01,55881,704,10832  1,6764,73,1019,30,464,109,1637,10742.3,0
7/15/01,55841,664,9793  1,6752,68,1019,74,1132,79,1185,10540.1,0
7/16/01,56043,617,9217  1,6812,68,770,106,1613,68,1024,10334.7,0
7/17/01,56004,578,8243  1,6801,60,770,139,2101,63,972,10128.9,0
7/18/01,55953,527,7208  1,6785,60,770,153,2317,95,1443,9921.4,0
7/19/01,55925,499,6928  1,6777,46,1234,174,2173,129,1931,9709.9,0
7/20/01,55874,448,6241  1,6762,46,1902,202,1941,148,2193,9498.6,0
7/21/01,56044,392,5533  1,6813,76,2157,218,2147,147,2186,9283.9,0
7/22/01,56030,378,4394  1,6809,120,2645,229,2467,133,1995,9067.8,0
7/23/01,56207,343,3977  1,6862,152,2649,244,2949,97,1484,8849.3,0
7/24/01,56250,306,3523  1,6875,172,2889,256,3309,52,804,8630.3,0
7/25/01,56439,244,3386  1,6931,186,3074,283,3490,29,464,8408.8,0
7/26/01,56418,222,2745  1,6925,195,3760,273,2990,18,277,8187.2,0
7/27/01,56394,198,2587  1,6918,218,4568,245,2182,35,536,7964.4,0
7/28/01,56388,192,2308  1,6916,248,5266,217,1761,34,514,7740.7,0
7/29/01,56352,156,2114  1,6905,303,5946,162,1081,52,807,7521.1,0
7/30/01,56344,148,1517  1,6903,350,6563,132,723,69,1062,7299.9,0
7/31/01,56328,132,1258  1,6898,395,6750,104,791,92,1425,7078.2,0
8/1/01,56781,121,1722  1,7034,436,6286,81,1084,125,1930,6852.9,0
8/2/01,57415,87,2296  1,7224,447,5895,104,1321,145,2265,6629.4,0
8/3/01,57882,73,2777  1,7364,447,5414,144,1939,170,2671,6405.6,0
8/4/01,58400,103,3120  1,7520,435,5185,177,2478,181,2869,6181.1,0
8/5/01,58655,142,3336  1,7596,391,5224,231,3072,193,3072,5948.8,0
8/6/01,57751,174,3407  1,7325,376,5197,279,3803,194,3113,7067.3,0
8/7/01,56915,199,3843  1,7074,360,5275,324,4285,214,3447,8171.2,0
8/8/01,53453,213,4530  1,6035,364,5206,372,4719,221,3614,9206.8,0
8/9/01,52778,220,5338  1,5833,377,5196,404,4986,237,3949,10227.9,0
8/10/01,52002,248,6036  1,5600,389,5347,446,5467,241,4121,11233.9,0
8/11/01,51231,294,6490  1,5369,394,5691,468,5662,249,4354,12226.1,0
8/12/01,50381,349,7107  1,5114,393,6070,496,6066,264,4710,13265.3,0
8/13/01,50615,396,7082  1,5184,411,6935,517,6516,257,4670,13074.9,0
8/14/01,50647,428,7002  1,5194,428,8000,536,6903,233,4299,12889.2,0
8/15/01,46900,469,7028  1,4070,453,9053,567,7329,195,3671,13812.4,0
8/16/01,45515,468,7027  1,3654,508,10272,580,7572,178,3421,14710.3,0
8/17/01,45769,463,7286  1,3730,590,11413,555,7253,194,3797,14547,0
8/18/01,9025,465,7541,1019,645,12660,541,6879,201,4012,14609.3,0
8/19/01,9069,465,7834,770,727,13819,521,6639,139,3099,14634.2,0
8/20/01,9600,482,8348,770,796,15061,508,6340,66,1882,14658.9,0
8/21/01,10235,499,8966,770,860,15905,493,6221,0,828,14682.7,0
8/22/01,11051,517,9300,1234,939,16188,396,5439,0,775,14746.1,0
8/23/01,11934,551,9481,1902,984,16467,317,4551,0,914,14854.5,0
8/24/01,12998,591,10024,2383,1001,16655,260,3628,0,1101,14827.7,0
8/25/01,13789,612,10532,2645,1009,17116,201,2417,2,1531,14973.1,0
8/26/01,14851,622,11368,2861,1017,17407,139,1453,5,1779,14939.3,0
8/27/01,15657,655,12113,2889,1025,16641,66,1630,9,1981,15126.4,0
8/28/01,16765,684,13007,3074,1029,15551,2,2066,12,2047,15290.4,0
8/29/01,18035,736,13539,3760,963,14621,5,2404,13,2038,15538.8,0
8/30/01,19480,781,14131,4568,897,13467,9,2836,17,2181,15452.6,0
8/31/01,21036,835,14935,5266,815,12344,14,3199,23,2302,15808.7,0
9/1/01,22515,862,15707,5946,742,11368,18,3341,34,2726,15708.1,0
9/2/01,24298,889,16846,6563,660,10288,26,3486,41,2866,16155.3,0
9/3/01,25799,928,18121,6750,574,9453,37,3722,49,3171,16558.8,0
9/4/01,26916,964,19202,6750,495,9050,50,4086,52,3211,16960.4,0
9/5/01,28100,1020,20053,7027,401,8664,62,4305,52,3177,16894.5,0
9/6/01,28916,1088,21265,6563,326,8070,77,4855,46,2833,17333.8,0
9/7/01,30430,1145,22463,6822,274,7434,90,5116,42,2663,17264.5,0
9/8/01,30665,1186,23551,5928,219,6954,101,5180,44,2780,17653,0
9/9/01,31026,1248,23557,6221,165,7697,106,4962,45,2962,17531.4,0
9/10/01,30618,1304,23283,6031,103,8418,109,4913,46,3126,17878.9,0
9/11/01,30636,1353,22954,6329,52,9297,111,4789,40,2892,18291.6,0
9/12/01,30864,1335,22402,7127,67,10133,110,4713,38,2795,18215.3,0
9/13/01,31209,1301,21932,7976,86,10681,106,4862,39,2775,18120.2,0
9/14/01,31209,1261,21384,8564,104,11029,99,4848,46,3149,18684.5,0
9/15/01,30339,1210,21064,8065,119,11265,96,4845,51,3299,19213.9,0
9/16/01,30912,1156,20639,9117,132,11682,99,4857,51,3291,19126.8,0
9/17/01,31525,1091,20252,9457,146,12010,103,5035,51,3231,19043.1,0
9/18/01,32207,1031,19664,9662,161,12344,103,5018,53,3294,18962,0
9/19/01,31384,968,19063,9415,172,12536,105,5256,55,3266,19593.7,0
9/20/01,32143,906,18484,9642,183,12624,108,5471,59,3383,19507.3,0
9/21/01,32312,829,17845,9693,189,12817,116,5537,65,3658,20160.8,0
9/22/01,33098,760,17435,9929,197,12959,122,5373,74,4128,20828.1,0
9/23/01,33708,686,16640  1,112,205,13057,128,5555,75,4167,21504.9,0
9/24/01,34542,611,16346  1,362,212,12937,135,5904,73,4009,22195.1,0
9/25/01,35010,545,16347  1,503,214,12979,145,6270,74,3998,22893.5,0
9/26/01,35341,463,16146  1,602,215,13174,152,6428,79,4211,23597.5,0
9/27/01,36105,403,15758  1,831,214,13370,157,6647,83,4440,23485.7,0
9/28/01,34713,364,15213  1,413,215,13699,166,6885,80,4330,24173.2,0
9/29/01,34689,320,14914  1,406,218,14052,176,6981,76,4224,24856.2,0
9/30/01,31203,271,15621,9360,227,14536,181,6959,71,4048,25464.8,0
10/1/01,32220,212,16457,9666,238,14740,181,7048,64,3928,25352.4,0
10/2/01,32981,163,16978,9894,248,15169,178,7196,57,3761,25239,0
10/3/01,33904,177,17641  1,171,257,15739,177,7009,50,3547,25124.6,0
10/4/01,32356,192,18318,9706,265,16176,172,6765,47,3413,25758.2,0
10/5/01,33551,203,19026  1,65,282,16460,161,6517,43,3282,25645.5,0
10/6/01,34622,215,19409  1,386,298,16770,148,6226,40,3265,25530.4,0
10/7/01,35686,231,19830  1,705,309,17109,136,5954,36,3143,25412.9,0
10/8/01,36828,249,20276  1,1048,316,17277,124,5751,34,3062,25292.7,0
10/9/01,36463,264,20656  1,938,323,17404,112,5563,33,2959,26011.9,0
10/10/01,36044,277,21058  1,813,329,17604,101,5336,32,2892,26723,0
10/11/01,35543,291,21478  1,662,329,17441,94,5266,29,2758,27422.6,0
10/12/01,35492,305,22012  1,647,327,17159,88,5109,25,2658,28118.6,0
10/13/01,36996,319,22460  1,1098,324,16758,83,4946,21,2544,27992.7,0
10/14/01,38290,333,22779  1,1487,317,16539,76,4759,19,2469,27864,0
10/15/01,39543,347,22850  1,1862,305,16293,70,4624,17,2394,27732.8,0
10/16/01,39953,359,23247  1,1985,290,15822,64,4428,16,2348,28518,0
10/17/01,41454,367,23813  1,2436,278,15287,59,4269,15,2276,28379.3,0
10/18/01,40586,371,24457  1,2175,266,14745,53,4126,15,2201,29174.5,0
10/19/01,40508,381,24914  1,2152,249,14250,47,4018,13,2049,29967.3,0
10/20/01,40565,394,25257  1,2169,231,13721,42,3887,10,1861,30759.6,0
10/21/01,40797,408,25543  1,2239,212,13241,39,3783,7,1685,31556.7,0
10/22/01,39221,419,25716  1,1766,194,12791,35,3598,6,1601,32320.7,0
10/23/01,40448,426,26126  1,2134,176,12354,31,3354,5,1534,32181.8,0
10/24/01,40792,434,26295  1,2237,160,12042,27,3120,3,1437,32982.4,0
10/25/01,41910,437,26354  1,2573,147,11654,24,2923,1,1306,32843.5,0
10/26/01,42387,443,26259  1,2716,135,11273,20,2687,0,1213,33681.4,0
10/27/01,43451,446,26261  1,3035,125,10826,15,2508,0,1114,33544.6,0
10/28/01,43622,445,26206  1,3086,115,10372,10,2368,0,1025,34413.7,0
10/29/01,40591,440,26090  1,2177,105,9896,7,2215,0,938,35220.2,0
10/30/01,39535,435,25926  1,1860,95,9468,5,2021,0,837,36006.4,0
10/31/01,40456,430,25832  1,2136,86,9014,3,1859,0,703,35883.9,0
11/1/01,41308,423,25465  1,2392,77,8575,1,1716,0,562,35762.2,0
11/2/01,42142,415,24926  1,2642,67,8116,0,1552,0,458,35641.2,0
11/3/01,42108,407,24248  1,2632,57,7683,0,1349,0,382,36490.3,0
11/4/01,41968,393,23767  1,2590,49,7220,0,1164,0,298,37338,0
11/5/01,41677,375,23311  1,2503,42,6747,0,985,0,204,38181.7,0
11/6/01,42405,354,22598  1,2721,36,6273,0,793,0,111,38067,0
11/7/01,43097,337,21832  1,2929,30,5781,0,625,0,44,37952.7,0
11/8/01,42770,319,21072  1,2831,25,5249,0,486,0,7,38824.5,0
11/9/01,41474,296,20317  1,2442,20,4786,0,342,0,0,39670.6,0
11/10/01,40027,273,19469  1,2008,15,4378,0,211,0,0,40487.8,0
11/11/01,38299,251,18709  1,1489,10,3946,0,111,0,0,41270,0
11/12/01,37755,229,17990  1,1326,7,3483,0,44,0,0,42042.3,0
11/13/01,37078,207,17242  1,1123,5,3048,0,7,0,0,42801.8,0
11/14/01,32752,187,16599,9825,3,2620,0,0,0,0,42734.1,0
11/15/01,31645,171,15883,9493,1,2221,0,0,0,0,42660.5,1359.6
11/16/01,30728,155,15173,9218,0,1842,0,0,0,0,42599,1233.7
11/17/01,26861,140,14448,8058,0,1506,0,0,0,0,42538.1,2382.4
11/18/01,25688,125,13765,7706,0,1196,0,0,0,0,42479.8,3479.5
11/19/01,24598,112,13049,7379,0,904,0,0,0,0,42423.7,4528.6
11/20/01,23434,100,12326,7030,0,669,0,0,0,0,42370,5526.6
11/21/01,22307,89,11576,6692,0,493,0,0,0,0,42318.7,6475.3
11/22/01,21198,78,10853,6359,0,342,0,0,0,0,42269.7,7375.2
11/23/01,20098,67,10126,6029,0,211,0,0,0,0,42222.9,8227.1
11/24/01,19110,57,9414,5733,0,111,0,0,0,0,42178,9035.8
11/25/01,18054,49,8682,5416,0,44,0,0,0,0,42135.3,9798.4
11/26/01,16995,42,7936,5098,0,7,0,0,0,0,42094.6,10514.7
11/27/01,15935,36,7177,4780,0,0,0,0,0,0,42056,11184.9
11/28/01,14936,30,6450,4480,0,0,0,0,0,0,42019.4,11811.7
11/29/01,13923,25,5742,4176,0,0,0,0,0,0,41984.8,12394.4
11/30/01,13923,25,5742,4176,0,0,0,0,0,0,41940.6,12294.4
12/1/01,13908,20,5128,4172,0,0,0,0,0,0,41905,14052.3
12/2/01,12946,15,4589,3883,0,0,0,0,0,0,41871.5,15684.6
12/3/01,12016,10,4057,3604,0,0,0,0,0,0,41840.1,17195.6
12/4/01,11140,7,3527,3342,0,0,0,0,0,0,41810.6,18593.1
12/5/01,11140,7,3527,3342,0,0,0,0,0,0,41773.1,18508.1
12/6/01,9479,5,3055,2843,0,0,0,0,0,0,41748.1,18899.1
12/7/01,8678,3,2620,2603,0,0,0,0,0,0,41724.8,19255.8
12/8/01,8678,3,2620,2603,0,0,0,0,0,0,41695.4,19162.3
12/9/01,8678,3,2620,2603,0,0,0,0,0,0,41665.9,19068.8
12/10/01,8678,3,2620,2603,0,0,0,0,0,0,41636.4,18975.3
12/11/01,8678,3,2620,2603,0,0,0,0,0,0,41607,18881.8
12/12/01,8678,3,2620,2603,0,0,0,0,0,0,41577.5,18788.3
12/13/01,8666,1,2221,2599,0,0,0,0,0,0,41553.6,19144.4
12/14/01,8666,1,2221,2599,0,0,0,0,0,0,41523.4,19051
12/15/01,8666,1,2221,2599,0,0,0,0,0,0,41493.2,18957.5
12/16/01,8666,1,2221,2599,0,0,0,0,0,0,41463,18864.1
12/17/01,8666,1,2221,2599,0,0,0,0,0,0,41432.8,18770.7
12/18/01,8666,1,2221,2599,0,0,0,0,0,0,41402.5,18677.3
12/19/01,8666,1,2221,2599,0,0,0,0,0,0,41372.3,18583.8
12/20/01,8666,1,2221,2599,0,0,0,0,0,0,41342.1,18490.4
