"location","vicid","state_fips","fips","state","county","vic_km2"
"36.46875_-119.71875",169909,6,6019,"CA","Fresno County",38.81383
"36.46875_-119.78125",169908,6,6019,"CA","Fresno County",38.81383
"36.46875_-119.84375",169907,6,6019,"CA","Fresno County",38.81383
"36.46875_-119.90625",169906,6,6019,"CA","Fresno County",38.81383
"36.46875_-119.96875",169905,6,6019,"CA","Fresno County",38.81383
"36.46875_-120.40625",169898,6,6019,"CA","Fresno County",38.81383
"36.46875_-121.34375",169883,6,6053,"CA","Monterey County",38.81383
"36.46875_-121.40625",169882,6,6053,"CA","Monterey County",38.81383
"36.53125_-119.28125",170844,6,6107,"CA","Tulare County",38.78244
"36.53125_-119.34375",170843,6,6107,"CA","Tulare County",38.78244
"36.53125_-119.40625",170842,6,6107,"CA","Tulare County",38.78244
"36.53125_-119.46875",170841,6,6107,"CA","Tulare County",38.78244
"36.53125_-119.53125",170840,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.59375",170839,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.65625",170838,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.71875",170837,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.78125",170836,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.84375",170835,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.90625",170834,6,6019,"CA","Fresno County",38.78244
"36.53125_-119.96875",170833,6,6019,"CA","Fresno County",38.78244
"36.53125_-120.03125",170832,6,6019,"CA","Fresno County",38.78244
"36.53125_-121.40625",170810,6,6053,"CA","Monterey County",38.78244
"36.53125_-121.46875",170809,6,6053,"CA","Monterey County",38.78244
"36.53125_-121.53125",170808,6,6053,"CA","Monterey County",38.78244
"36.59375_-119.34375",171771,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.40625",171770,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.46875",171769,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.53125",171768,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.59375",171767,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.65625",171766,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.71875",171765,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.84375",171763,6,6019,"CA","Fresno County",38.75101
"36.59375_-119.96875",171761,6,6019,"CA","Fresno County",38.75101
"36.59375_-120.09375",171759,6,6019,"CA","Fresno County",38.75101
"36.59375_-80.71875",172389,51,51035,"VA","Carroll County",38.75101
"36.65625_-119.40625",172698,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.46875",172697,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.53125",172696,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.59375",172695,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.65625",172694,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.71875",172693,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.78125",172692,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.84375",172691,6,6019,"CA","Fresno County",38.71953
"36.65625_-119.96875",172689,6,6019,"CA","Fresno County",38.71953
"36.65625_-120.03125",172688,6,6019,"CA","Fresno County",38.71953
"36.65625_-120.09375",172687,6,6019,"CA","Fresno County",38.71953
"36.71875_-119.46875",173625,6,6019,"CA","Fresno County",38.688
"36.71875_-119.53125",173624,6,6019,"CA","Fresno County",38.688
"36.71875_-119.59375",173623,6,6019,"CA","Fresno County",38.688
"36.71875_-119.65625",173622,6,6019,"CA","Fresno County",38.688
"36.71875_-119.84375",173619,6,6019,"CA","Fresno County",38.688
"36.71875_-119.90625",173618,6,6019,"CA","Fresno County",38.688
"36.71875_-119.96875",173617,6,6019,"CA","Fresno County",38.688
"36.71875_-120.03125",173616,6,6019,"CA","Fresno County",38.688
"36.71875_-120.09375",173615,6,6019,"CA","Fresno County",38.688
"36.71875_-121.28125",173596,6,6069,"CA","San Benito County",38.688
"36.78125_-119.46875",174553,6,6019,"CA","Fresno County",38.65643
"36.78125_-119.53125",174552,6,6019,"CA","Fresno County",38.65643
"36.78125_-119.59375",174551,6,6019,"CA","Fresno County",38.65643
"36.78125_-119.65625",174550,6,6019,"CA","Fresno County",38.65643
"36.78125_-119.96875",174545,6,6019,"CA","Fresno County",38.65643
"36.78125_-120.03125",174544,6,6019,"CA","Fresno County",38.65643
"36.78125_-120.09375",174543,6,6019,"CA","Fresno County",38.65643
"36.78125_-120.15625",174542,6,6019,"CA","Fresno County",38.65643
"36.78125_-120.21875",174541,6,6039,"CA","Madera County",38.65643
"36.78125_-120.34375",174539,6,6019,"CA","Fresno County",38.65643
"36.84375_-119.71875",175477,6,6019,"CA","Fresno County",38.62481
"36.84375_-119.84375",175475,6,6019,"CA","Fresno County",38.62481
"36.84375_-119.90625",175474,6,6019,"CA","Fresno County",38.62481
"36.84375_-119.96875",175473,6,6039,"CA","Madera County",38.62481
"36.84375_-120.03125",175472,6,6039,"CA","Madera County",38.62481
"36.84375_-120.09375",175471,6,6039,"CA","Madera County",38.62481
"36.90625_-119.78125",176404,6,6039,"CA","Madera County",38.59315
"36.90625_-119.84375",176403,6,6039,"CA","Madera County",38.59315
"36.90625_-119.90625",176402,6,6039,"CA","Madera County",38.59315
"36.90625_-119.96875",176401,6,6039,"CA","Madera County",38.59315
"36.90625_-120.03125",176400,6,6039,"CA","Madera County",38.59315
"36.90625_-120.09375",176399,6,6039,"CA","Madera County",38.59315
"36.90625_-120.15625",176398,6,6039,"CA","Madera County",38.59315
"36.96875_-119.71875",177333,6,6019,"CA","Fresno County",38.56143
"36.96875_-120.09375",177327,6,6039,"CA","Madera County",38.56143
"36.96875_-120.15625",177326,6,6039,"CA","Madera County",38.56143
"36.96875_-120.21875",177325,6,6039,"CA","Madera County",38.56143
"36.96875_-121.40625",177306,6,6085,"CA","Santa Clara County",38.56143
"37.03125_-119.96875",178257,6,6039,"CA","Madera County",38.52968
"37.03125_-120.03125",178256,6,6039,"CA","Madera County",38.52968
"37.03125_-120.09375",178255,6,6039,"CA","Madera County",38.52968
"37.03125_-120.15625",178254,6,6039,"CA","Madera County",38.52968
"37.03125_-120.21875",178253,6,6039,"CA","Madera County",38.52968
"37.03125_-120.28125",178252,6,6039,"CA","Madera County",38.52968
"37.03125_-120.34375",178251,6,6039,"CA","Madera County",38.52968
"37.09375_-120.09375",179183,6,6039,"CA","Madera County",38.49788
"37.09375_-120.15625",179182,6,6039,"CA","Madera County",38.49788
"37.09375_-120.21875",179181,6,6039,"CA","Madera County",38.49788
"37.09375_-120.28125",179180,6,6039,"CA","Madera County",38.49788
"37.15625_-120.21875",180109,6,6039,"CA","Madera County",38.46603
"37.15625_-121.03125",180096,6,6047,"CA","Merced County",38.46603
"37.21875_-120.21875",181037,6,6047,"CA","Merced County",38.43413
"37.21875_-120.28125",181036,6,6047,"CA","Merced County",38.43413
"37.21875_-120.34375",181035,6,6047,"CA","Merced County",38.43413
"37.21875_-120.40625",181034,6,6047,"CA","Merced County",38.43413
"37.21875_-121.03125",181024,6,6047,"CA","Merced County",38.43413
"37.28125_-120.28125",181964,6,6047,"CA","Merced County",38.40219
"37.28125_-120.34375",181963,6,6047,"CA","Merced County",38.40219
"37.28125_-120.40625",181962,6,6047,"CA","Merced County",38.40219
"37.28125_-121.03125",181952,6,6047,"CA","Merced County",38.40219
"37.28125_-121.09375",181951,6,6099,"CA","Stanislaus County",38.40219
"37.34375_-120.40625",182890,6,6047,"CA","Merced County",38.37021
"37.34375_-120.96875",182881,6,6047,"CA","Merced County",38.37021
"37.34375_-121.03125",182880,6,6099,"CA","Stanislaus County",38.37021
"37.34375_-121.09375",182879,6,6099,"CA","Stanislaus County",38.37021
"37.40625_-120.53125",183816,6,6047,"CA","Merced County",38.33818
"37.40625_-120.71875",183813,6,6047,"CA","Merced County",38.33818
"37.40625_-121.03125",183808,6,6099,"CA","Stanislaus County",38.33818
"37.40625_-121.09375",183807,6,6099,"CA","Stanislaus County",38.33818
"37.40625_-121.15625",183806,6,6099,"CA","Stanislaus County",38.33818
"37.46875_-120.46875",184745,6,6047,"CA","Merced County",38.3061
"37.46875_-120.53125",184744,6,6047,"CA","Merced County",38.3061
"37.46875_-120.59375",184743,6,6047,"CA","Merced County",38.3061
"37.46875_-120.65625",184742,6,6047,"CA","Merced County",38.3061
"37.46875_-120.71875",184741,6,6047,"CA","Merced County",38.3061
"37.46875_-120.78125",184740,6,6047,"CA","Merced County",38.3061
"37.46875_-121.03125",184736,6,6099,"CA","Stanislaus County",38.3061
"37.46875_-121.09375",184735,6,6099,"CA","Stanislaus County",38.3061
"37.46875_-121.15625",184734,6,6099,"CA","Stanislaus County",38.3061
"37.46875_-121.21875",184733,6,6099,"CA","Stanislaus County",38.3061
"37.53125_-120.65625",185670,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-120.71875",185669,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-120.96875",185665,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-121.03125",185664,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-121.09375",185663,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-121.15625",185662,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-121.21875",185661,6,6099,"CA","Stanislaus County",38.27398
"37.53125_-121.28125",185660,6,6099,"CA","Stanislaus County",38.27398
"37.59375_-120.71875",186597,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-120.78125",186596,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-120.84375",186595,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-120.90625",186594,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-120.96875",186593,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-121.03125",186592,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-121.09375",186591,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-121.15625",186590,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-121.21875",186589,6,6099,"CA","Stanislaus County",38.24181
"37.59375_-121.28125",186588,6,6099,"CA","Stanislaus County",38.24181
"37.65625_-120.65625",187526,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-120.71875",187525,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-120.78125",187524,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-120.84375",187523,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-120.90625",187522,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-121.03125",187520,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-121.09375",187519,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-121.15625",187518,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-121.21875",187517,6,6099,"CA","Stanislaus County",38.2096
"37.65625_-121.28125",187516,6,6077,"CA","San Joaquin County",38.2096
"37.65625_-121.34375",187515,6,6077,"CA","San Joaquin County",38.2096
"37.65625_-121.40625",187514,6,6077,"CA","San Joaquin County",38.2096
"37.71875_-120.65625",188454,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-120.71875",188453,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-120.78125",188452,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-120.84375",188451,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-120.90625",188450,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-120.96875",188449,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-121.03125",188448,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-121.09375",188447,6,6099,"CA","Stanislaus County",38.17734
"37.71875_-121.15625",188446,6,6077,"CA","San Joaquin County",38.17734
"37.71875_-121.21875",188445,6,6077,"CA","San Joaquin County",38.17734
"37.71875_-121.28125",188444,6,6077,"CA","San Joaquin County",38.17734
"37.71875_-121.34375",188443,6,6077,"CA","San Joaquin County",38.17734
"37.71875_-121.40625",188442,6,6077,"CA","San Joaquin County",38.17734
"37.78125_-120.71875",189381,6,6099,"CA","Stanislaus County",38.14504
"37.78125_-120.78125",189380,6,6099,"CA","Stanislaus County",38.14504
"37.78125_-120.84375",189379,6,6099,"CA","Stanislaus County",38.14504
"37.78125_-120.90625",189378,6,6099,"CA","Stanislaus County",38.14504
"37.78125_-120.96875",189377,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.03125",189376,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.09375",189375,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.15625",189374,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.21875",189373,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.28125",189372,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-121.34375",189371,6,6077,"CA","San Joaquin County",38.14504
"37.78125_-78.96875",190049,51,51125,"VA","Nelson County",38.14504
"37.84375_-120.71875",190309,6,6099,"CA","Stanislaus County",38.11269
"37.84375_-120.84375",190307,6,6099,"CA","Stanislaus County",38.11269
"37.84375_-120.90625",190306,6,6099,"CA","Stanislaus County",38.11269
"37.84375_-120.96875",190305,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.03125",190304,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.09375",190303,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.15625",190302,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.21875",190301,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.28125",190300,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.34375",190299,6,6077,"CA","San Joaquin County",38.11269
"37.84375_-121.40625",190298,6,6077,"CA","San Joaquin County",38.11269
"37.90625_-120.84375",191235,6,6099,"CA","Stanislaus County",38.08029
"37.90625_-120.90625",191234,6,6099,"CA","Stanislaus County",38.08029
"37.90625_-120.96875",191233,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.03125",191232,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.09375",191231,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.15625",191230,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.21875",191229,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.28125",191228,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.34375",191227,6,6077,"CA","San Joaquin County",38.08029
"37.90625_-121.40625",191226,6,6077,"CA","San Joaquin County",38.08029
"37.96875_-120.96875",192161,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.03125",192160,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.09375",192159,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.15625",192158,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.21875",192157,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.40625",192154,6,6077,"CA","San Joaquin County",38.04785
"37.96875_-121.46875",192153,6,6077,"CA","San Joaquin County",38.04785
"38.03125_-120.96875",193089,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.03125",193088,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.09375",193087,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.15625",193086,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.21875",193085,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.28125",193084,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.34375",193083,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.40625",193082,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.46875",193081,6,6077,"CA","San Joaquin County",38.01537
"38.03125_-121.53125",193080,6,6077,"CA","San Joaquin County",38.01537
"38.09375_-120.90625",194018,6,6009,"CA","Calaveras County",37.98284
"38.09375_-120.96875",194017,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.03125",194016,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.09375",194015,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.15625",194014,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.21875",194013,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.28125",194012,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.34375",194011,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.40625",194010,6,6077,"CA","San Joaquin County",37.98284
"38.09375_-121.46875",194009,6,6077,"CA","San Joaquin County",37.98284
"38.15625_-121.09375",194943,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.15625",194942,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.21875",194941,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.28125",194940,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.34375",194939,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.40625",194938,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.46875",194937,6,6077,"CA","San Joaquin County",37.95026
"38.15625_-121.59375",194935,6,6067,"CA","Sacramento County",37.95026
"38.21875_-121.03125",195872,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.09375",195871,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.15625",195870,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.21875",195869,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.28125",195868,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.34375",195867,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.40625",195866,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.46875",195865,6,6077,"CA","San Joaquin County",37.91764
"38.21875_-121.53125",195864,6,6067,"CA","Sacramento County",37.91764
"38.21875_-121.59375",195863,6,6067,"CA","Sacramento County",37.91764
"38.21875_-121.65625",195862,6,6095,"CA","Solano County",37.91764
"38.28125_-120.96875",196801,6,6005,"CA","Amador County",37.88497
"38.28125_-121.09375",196799,6,6077,"CA","San Joaquin County",37.88497
"38.28125_-121.15625",196798,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.21875",196797,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.28125",196796,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.34375",196795,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.40625",196794,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.46875",196793,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.53125",196792,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.59375",196791,6,6067,"CA","Sacramento County",37.88497
"38.28125_-121.65625",196790,6,6095,"CA","Solano County",37.88497
"38.34375_-121.28125",197724,6,6067,"CA","Sacramento County",37.85226
"38.34375_-121.34375",197723,6,6067,"CA","Sacramento County",37.85226
"38.34375_-121.40625",197722,6,6067,"CA","Sacramento County",37.85226
"38.34375_-121.53125",197720,6,6067,"CA","Sacramento County",37.85226
"38.34375_-121.59375",197719,6,6113,"CA","Yolo County",37.85226
